name,sale_price,regular_price,link
Nike Sportswear,44.97,90,https://www.nike.com/t/sportswear-mens-classic-fleece-pants-DgDCHh/DA0019-050
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-joggers-KflRdQ/BV2671-063
Jordan Dri-FIT Sport Air,44.97,90,https://www.nike.com/t/jordan-dri-fit-sport-air-mens-statement-pants-85tM2t/DQ7320-206
Nike Sportswear Tech Fleece,44.97,90,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-FHsM9X/DM6480-252
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-mens-pants-j3nqxx/BV2707-063
Jordan Jumpman,44.97,90,https://www.nike.com/t/jordan-jumpman-mens-fleece-pants-tBlDzZ/DJ0260-738
Nike Sportswear Tech Fleece,44.97,90,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-cphDMf/DQ4316-010
Nike Sportswear Tech Fleece,44.97,90,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-4x29ft/CU4495-064
Jordan Essentials,44.97,90,https://www.nike.com/t/jordan-essentials-womens-fleece-pants-Hf4lN3/DD7001-011
Nike Sportswear Phoenix Fleece,44.97,90,https://www.nike.com/t/sportswear-phoenix-fleece-womens-high-waisted-oversized-sweatpants-plus-size-K0H0Z5/DV4919-334
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-mens-pants-jmbdcZ/BV2737-063
Nike Sportswear Phoenix Fleece,44.97,90,https://www.nike.com/t/sportswear-phoenix-fleece-womens-high-waisted-joggers-ftkzwQ/DQ5688-430
Nike Sportswear Tech Fleece,44.97,90,https://www.nike.com/t/sportswear-tech-fleece-mens-pants-0Tg4Xp/DQ4312-638
NOCTA,44.97,90,https://www.nike.com/t/nocta-mens-fleece-basketball-pants-hvzD09/DV3912-010
Nike Dri-FIT Standard Issue,44.97,90,https://www.nike.com/t/dri-fit-standard-issue-mens-basketball-pants-lF6lnX/CK6365-553
Jordan Essentials,44.97,90,https://www.nike.com/t/jordan-essentials-mens-fleece-pants-11d5wf/DA9820-010
Jordan Essentials Mountainside,44.97,90,https://www.nike.com/t/jordan-essentials-mountainside-mens-statement-fleece-pants-mRf54M/DC9730-781
Nike Solo Swoosh,44.97,90,https://www.nike.com/t/solo-swoosh-mens-fleece-pants-90h6N2/CW5460-460
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-womens-mid-rise-oversized-cargo-sweatpants-PBfdrv/DQ5196-063
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-big-kids-pants-GSv0mn/CI2911-410
Nike Therma-FIT,44.97,90,https://www.nike.com/t/therma-fit-mens-tapered-training-pants-wL87VN/DQ5405-063
Jordan Flight,44.97,90,https://www.nike.com/t/jordan-flight-womens-velour-pants-tPlb95/DV1404-410
Nike Sportswear Club Fleece,44.97,90,https://www.nike.com/t/sportswear-club-fleece-womens-mid-rise-oversized-sweatpants-t9VhDV/DQ5800-601
Jordan Essentials,44.97,90,https://www.nike.com/t/jordan-essentials-womens-fleece-pants-9Jvr2b/DN4575-010
